"","Calu3_mock3","Calu3_mock2","Calu3_mock1","Calu3_SARSCoV2_3","Calu3_SARSCoV2_2","Calu3_SARSCoV2_1","SRR1942929","SRR1942934","SRR1942956","SRR1942957","SRR1942960","SRR1942961","SRR1942989","SRR1942990","cluster","gene_type"
"IFI27L1",0.781213617655315,1.46762511163119,1.55670274401751,0.684346579775931,-0.0457976475120185,1.28666143842747,-0.305451748041415,-0.634234935554598,-0.457014929410112,-0.475697445425483,-0.513873407035436,-0.459098454717403,-1.19950450148928,-1.68587642232169,10,"Human"
"IFI27",0.758803157405819,0.868221640710649,0.889052058490241,1.21889479767173,1.15765483670637,1.18818730629966,-1.15600895866887,-1.17810215588524,0.0755508793131299,0.0417985593270307,-1.19083567860058,-1.15050621412597,-0.692350675753178,-0.830359552890801,5,"Human"
"CLMN",-1.16968354087923,-1.45555838787338,-1.12915035352021,0.42179639446754,0.400170441521336,0.2531705069942,0.939632509156545,1.23969651851213,0.183357515809524,0.435136948852354,1.07178823197273,1.14458122365689,-1.10196713595524,-1.23297087271521,11,"Human"
"PTER",-1.28091996887068,-2.37001425752189,-1.233420982443,1.35171750502178,0.960387960442126,0.92234073662898,0.117723293028097,0.465706631168007,0.166573230774246,-0.0453197843657787,0.327988461932269,0.465080112990777,0.187338716143713,-0.0351816549286407,7,"Human"
"C1QL3",-1.16130386112407,-1.16130386112407,-1.16130386112407,-1.16130386112407,-1.16130386112407,-0.798440893668789,0.824835974485027,1.02698019116974,0.710036869353692,0.75059212529972,0.706136552297034,1.10307221690207,0.716361174038396,0.766945095743447,3,"Human"
"CACNB2",-1.34827902397445,-1.1190096297694,-1.0047337524416,-1.07528791200784,-0.462928067641652,-1.37077480181688,0.648005800991972,0.434771933561831,0.820842758989373,0.868928616714802,0.564182703107335,0.642679781243874,1.29556023948236,1.10604135356028,3,"Human"
"HACD1",1.15889575646527,1.94238517262536,1.67639309181185,-0.0206616970944537,0.434488100265223,0.27130485172453,-0.379312630756248,-0.235277971853104,-0.417014197321658,-0.867501799497981,-0.425863974211475,-0.680650707604025,-1.12424301467208,-1.33294097988121,10,"Human"
"ARL5B",-0.90075751707477,-2.21368378662855,-1.54091928083201,0.380043961837295,0.882751921234959,0.116047447060272,-0.197108801009132,-0.0373360224201608,0.856693341365214,0.715082882579989,-0.128117351951326,-0.222696839680757,1.18427768977278,1.1057223557462,1,"Human"
"SMCO4",0.910335454036546,1.90254461956823,1.287336293304,0.0679495916874909,0.358443905012476,0.71994396111477,0.02715619289261,-0.13147495522105,-1.09710728569179,-1.36072946280917,-0.329170749191657,0.113855024993039,-1.24471862936171,-1.2243639603338,8,"Human"
"CEP295",-0.854866356660188,-1.64881066016663,-1.52914292432293,-0.208782153018104,-0.220108194801626,-0.818874896126588,-0.0737647854882738,0.200343244058936,1.4965220860253,1.36851050392083,0.0952744082509182,0.065375474495106,0.981870288807593,1.14645396502565,2,"Human"
"TAF1D",-1.09827251131493,-1.69806983440932,-2.04741030679846,0.15720634338319,1.1130753515135,0.100346588597919,-0.232906211236677,0.243776239997858,0.977561468847148,0.84950619662513,-0.0097926426809216,-0.138375548937871,1.04061871947501,0.742736146938424,1,"Human"
"R3HCC1L",-0.922524216813733,-1.03556569171757,-1.08379627920597,0.532463632233155,0.458196488075961,0.189233965234818,-0.782340929393763,-0.336686721276119,0.288389023437624,-0.443865595383841,-0.397023197042797,-0.464240623367069,1.96095040509767,2.03680974012162,1,"Human"
"AMOTL1",-0.624437082520518,-1.24783876142033,-0.237204690437478,-0.954555167924793,-1.64192683630635,-1.16257991717725,0.377085721288446,0.369895166774339,1.40294314017742,1.56566072485752,0.304115487912526,0.407666262582308,0.5751778452197,0.865998106974459,3,"Human"
"HTRA1",1.94747366350506,1.6993210966623,1.1068807710293,0.449780234935937,0.033161014774177,0.155498201377103,-0.496918560712222,-0.483268409111862,-0.971912990408461,-0.43142052535976,-0.117847655657293,-0.711807000007049,-0.66448411876034,-1.51445572226689,10,"Human"
"CEP57",0.000968105705680188,-1.87009276193161,-0.880366848040811,-0.743709066869382,-0.111799142788772,-1.53799219737595,0.959638877779915,1.363798336059,-0.245841097958366,-0.24388951902934,0.975096621433037,0.89347614763099,0.953778772570819,0.486933772814788,2,"Human"
