N3,N2,B1,B2,P3,P2,P1,N1,C1,C2,C3
ERVL_Xq21.1a,15,15,0,0,16,18,3,41,0,0,0
ERVLB4_1_KI270712v1_random,0,0,0,0,0,0,0,0,0,0,0
ERVLB4_10p11.21,4,8,0,0,6,4,2,5,0,3,0
ERVLB4_10p11.22b,5,3,0,0,3,0,0,7,0,0,0
ERVLB4_10q11.22a,0,8,0,0,0,4,0,2,0,1,0
ERVLB4_10q11.22b,6,0,0,0,7,0,0,0,9,5,0
ERVLB4_10q22.3a,0,1,0,0,1,0,0,2,0,1,0
ERVLB4_10q23.33b,2,0,0,0,0,0,0,1,0,0,0
ERVLB4_10q26.2b,28,2,0,0,40,12,29,14,0,0,0
ERVLB4_11p15.4a,0,0,0,0,0,0,0,0,0,0,0
ERVLB4_11p15.4b,2,1,0,0,2,3,1,2,0,0,0
ERVLB4_11p15.4c,8,7,1,0,11,10,11,10,5,0,0
ERVLB4_11p15.5b,1,0,0,0,0,2,0,0,0,0,0
ERVLB4_11p15.5c,1674,2066,3,0,3334,4599,1624,4643,662,487,863
ERVLB4_11p15.5d,50,47,0,0,167,81,43,134,0,4,4
ERVLB4_11p15.5e,1,2,0,0,5,5,2,10,2,0,0
